Date of Sale (dd/mm/yyyy),Address,Postal Code,County, Price ,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/01/2018,"1 ABBEY ST, HOWTH, DUBLIN",Dublin 7,Dublin,710000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"1 ROSEVILLE, LOWER ROAD, SHANKILL",Dublin 18,Dublin,627230.70,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"19 ULVERTON RD, DALKEY, DUBLIN",,Dublin,1130000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"236 PHIBSBORO RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,277000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"3 COLLEGE COURT, PORTRANE ROAD, DONABATE",,Dublin,348017.62,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"34 SLANE RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,325000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"51A ST PATRICKS CRESCENT, MONKSTOWN, DUBLIN",,Dublin,545000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24",Dublin 24,Dublin,180000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3",Dublin 3,Dublin,230000.00,No,No,Second-Hand Dwelling house /Apartment,
02/01/2018,"Apt 70, Eustace Court, Coolinor",,Dublin,400882.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
03/01/2018,"1 Ballygossan Park, Golf Links Road, Skerries",,Dublin,348017.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
03/01/2018,"10 SHANTALLA PARK, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,360000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"14 Castleway, Kinsealy Lane, Malahide",,Dublin,729000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2018,"147 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,372000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"16 AMBERFIELD, VERDEMONT, BLANCHARDSTOWN",,Dublin,203000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS",Dublin 11,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16",Dublin 16,Dublin,456000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"20  Greenbank House, Cualanor, Upper Glenageary Road",,Dublin,273488.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2018,"25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN",Dublin 15,Dublin,342000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"28 LYMEWOODS MEWS, NORTHWOOD, SANTRY",,Dublin,269000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"36 LISSADEL DRIVE, DRIMAGH, DUBLIN 12",,Dublin,225000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,2725000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"5 LAMBAY VIEW, RUSH, DUBLIN",,Dublin,280000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"61 CROMCASTLE RD, KILMORE WEST, COOLOCK DUBLIN 5",Dublin 5,Dublin,302500.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"63 ST BEGNETS VILLAS, DALKEY, DUBLIN",,Dublin,605000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"65 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,245000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"APT 11D METROPOLITAN APPARTMENTS, 67 INCHICORE ROAD, KILMAINHAM",,Dublin,281000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"APT 18, MARYLAND HOUSE BEECHFIELD HAVEN, SHANKILL",Dublin 18,Dublin,305000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"APT 4, 39 LOWER DORSET ST, DUBLIN",Dublin 1,Dublin,197000.00,No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"No. 3 Castlechurch Drive, Castlechurch, Newcastle",,Dublin,281939.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"1 MAPLE, HAZELDENE, DONNYBROOK DUBLIN 4",Dublin 4,Dublin,765000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"1 PARK HOUSE, WILLANS DR, ONGAR GREEN DUBLIN 15",Dublin 15,Dublin,143000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"101 COOLEY RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,290000.00,Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"11 WARRENMOUNT PLACE, BLACKPITTS, DUBLIN 8",Dublin 8,Dublin,365000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"120 DOWLAND RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,307000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"14 Willow House, Silverbanks, Baldoyle",Dublin 13,Dublin,219512.20,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
04/01/2018,"15 BROOKDALE RD, RIVERVALLEY, SWORDS",,Dublin,246346.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"16 CRESTFIELD AVE, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,460000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"16 Grace Park Grove, Grace Park Wood, Grace Park Road",Dublin 9,Dublin,453744.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"16 ST JOSEPHS SQ, CLONTARF, DUBLIN 3",Dublin 3,Dublin,395000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"180 BEAUVALE PARK, ARTANE, DUBLIN 5",Dublin 5,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"21 CAIRNWOOD COURT, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,260000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"21 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9",Dublin 9,Dublin,420000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"24 Stratton Drive, Adamstown Square, Adamstown",,Dublin,255506.60,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"28 HAZELWOOD COURT, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,250000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"32 ABBEY PARK, KILLESTER, DUBLIN 5",Dublin 5,Dublin,400000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"32 Dodderbrook Drive, Dublin 24",Dublin 24,Dublin,370000.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
04/01/2018,"35 Grace Park, Dromcondra, Dublin 9",,Dublin,440528.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
04/01/2018,"365 CLOGHER ROAD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,270000.00,Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"38 The Green, The Paddocks, Hansfield",Dublin 15,Dublin,286343.60,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"39 THE RED MILL, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,203778.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"40A ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,115000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"43 SILCHESTER PARK, GLENAGEARY, DUBLIN",,Dublin,700000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"5  Willow House, Silverbanks, The Coast",Dublin 13,Dublin,140969.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"61 BROOKFIELD EST, KIMMAGE CROSS RD, DUBLIN 12",Dublin 12,Dublin,445000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"65 CHRISTCHURCH VIEW, NICHOLAS ST, DUBLIN 8",Dublin 8,Dublin,345000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"8 Hamilton Hill, Barnageeragh Cove, Skerries",,Dublin,378854.62,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
